"sample_id","genusspecies","individual","K","MPa"
"cycsem_1_0.0","cycsem",1,2.93040422505611,0
"cycsem_1_0.5","cycsem",1,2.51928972037558,0.5
"cycsem_1_1.0","cycsem",1,2.02393783916177,1
"cycsem_1_1.5","cycsem",1,1.88996398620258,1.5
"cycsem_1_2.0","cycsem",1,0.811454238821983,2
"cycsem_1_2.5","cycsem",1,0.385015401909707,2.5
"cycsem_1_3.0","cycsem",1,0.102056098110747,3
"cycsem_2_0.0","cycsem",2,5.07612688486868,0
"cycsem_2_0.5","cycsem",2,3.97858677399307,0.5
"cycsem_2_1.0","cycsem",2,2.72135336847493,1
"cycsem_2_1.5","cycsem",2,1.26053059202439,1.5
"cycsem_2_2.0","cycsem",2,0.457625315639876,2
"cycsem_2_2.5","cycsem",2,0.593065806761598,2.5
"cycsem_2_3.0","cycsem",2,0.034100484391309,3
"cycsem_3_0.0","cycsem",3,1.51537406561438,0
"cycsem_3_0.5","cycsem",3,1.0854141403805,0.5
"cycsem_3_1.0","cycsem",3,1.2487846676305,1
"cycsem_3_1.5","cycsem",3,0.790935156290676,1.5
"cycsem_3_2.0","cycsem",3,0.500571447307682,2
"cycsem_3_2.5","cycsem",3,0.16801822134715,2.5
"cycsem_3_3.0","cycsem",3,0.118234439404957,3
"cycsem_4_0.0","cycsem",4,3.73404001963644,0
"cycsem_4_0.5","cycsem",4,3.42085671025053,0.5
"cycsem_4_1.0","cycsem",4,3.45710755030746,1
"cycsem_4_1.5","cycsem",4,2.73444124136669,1.5
"cycsem_4_2.0","cycsem",4,2.19639881663241,2
"cycsem_4_2.5","cycsem",4,2.13487204487999,2.5
"cycsem_4_3.0","cycsem",4,1.70362874032624,3
"cycsem_4_3.5","cycsem",4,0.854151316544433,3.5
"cycsem_4_4.0","cycsem",4,0.296486335074478,4
"cycsem_5_0.0","cycsem",5,2.10007646856731,0
"cycsem_5_0.5","cycsem",5,1.72756431553157,0.5
"cycsem_5_1.0","cycsem",5,1.74457869375505,1
"cycsem_5_1.5","cycsem",5,1.1088977124276,1.5
"cycsem_5_2.0","cycsem",5,0.222461178479343,2
"cycsem_5_2.5","cycsem",5,-0.0216993796058214,2.5
"cycsem_6_0.0","cycsem",6,1.1345011367867,0
"cycsem_6_0.5","cycsem",6,0.853672627655413,0.5
"cycsem_6_1.0","cycsem",6,0.759163820208298,1
"cycsem_6_1.5","cycsem",6,0.599685429037245,1.5
"cycsem_6_2.0","cycsem",6,0.156283664231876,2
"cycsem_6_2.5","cycsem",6,0.254810511430034,2.5
"cycsem_6_3.0","cycsem",6,0.176622875027402,3
"lomjap_2_0.0","lomjap",2,1.10517229941996,0
"lomjap_2_0.5","lomjap",2,1.09158058233256,0.5
"lomjap_2_1.0","lomjap",2,0.680093519612727,1
"lomjap_2_1.5","lomjap",2,0.778413185915873,1.5
"lomjap_2_2.0","lomjap",2,0.75092286096626,2
"lomjap_2_2.5","lomjap",2,0.375508416742313,2.5
"lomjap_2_3.0","lomjap",2,0.388282711273769,3
"lomjap_2_3.5","lomjap",2,0.417682555159306,3.5
"lomjap_2_4.0","lomjap",2,0.00941008085989906,4
"lomjap_3_0.0","lomjap",3,2.86133121138184,0
"lomjap_3_0.5","lomjap",3,2.19160391971187,0.5
"lomjap_3_1.0","lomjap",3,1.56365770582646,1
"lomjap_3_1.5","lomjap",3,1.70412235252812,1.5
"lomjap_3_2.0","lomjap",3,0.725480812449376,2
"lomjap_3_2.5","lomjap",3,0.399912612781989,2.5
"lomjap_3_3.0","lomjap",3,0.175276244355656,3
"lomjap_4_0.0","lomjap",4,4.21121430310836,0
"lomjap_4_0.5","lomjap",4,3.43180228869987,0.5
"lomjap_4_1.0","lomjap",4,3.07232312393754,1
"lomjap_4_1.5","lomjap",4,1.62782683556802,1.5
"lomjap_4_2.0","lomjap",4,2.51732503398133,2
"lomjap_4_2.5","lomjap",4,2.17039559064877,2.5
"lomjap_4_3.0","lomjap",4,0.415374214012704,3
"lomjap_5_0.0","lomjap",5,1.16872866660264,0
"lomjap_5_0.5","lomjap",5,1.15700050235547,0.5
"lomjap_5_1.0","lomjap",5,1.0828274663889,1
"lomjap_5_1.5","lomjap",5,0.795396218509177,1.5
"lomjap_5_2.0","lomjap",5,0.558991586477259,2
"lomjap_5_2.5","lomjap",5,0.461418952649609,2.5
"lomjap_5_3.0","lomjap",5,0.193518167127048,3
"lomjap_5_4.0","lomjap",5,-0.0131463495963895,4
"lomjap_6_0.0","lomjap",6,3.00372219144425,0
"lomjap_6_0.5","lomjap",6,1.94043110277045,0.5
"lomjap_6_1.0","lomjap",6,1.67824242122493,1
"lomjap_6_1.5","lomjap",6,1.28955755176303,1.5
"lomjap_6_2.0","lomjap",6,1.09973935741806,2
"lomjap_6_2.5","lomjap",6,0.68103000987797,2.5
"lomjap_6_3.0","lomjap",6,0.614554725961808,3
"lomjap_6_4.0","lomjap",6,-0.000213843162544352,4
